original_names,new_names
adhB_1~~~adhB_2~~~adhB_3,adhB_1~~~adhB_2~~~adhB_3
ampR_2~~~ampR_1,ampR_2~~~ampR_1
arcB_3,arcB_3
asnC_1~~~~~~lrp_3~~~lrp_4~~~asnC_2,asnC_1~~~~~~lrp_3~~~lrp_4~~~asnC_2
bphI,bphI
bphJ~~~dmpF,bphJ~~~dmpF
btuF_2~~~btuF_1,btuF_2~~~btuF_1
cytR_3~~~ccpA_2~~~cytR_1~~~cytR_4~~~cytR_2,cytR_3~~~ccpA_2~~~cytR_1~~~cytR_4~~~cytR_2
degA~~~degA_1~~~degA_4~~~degA_3,degA~~~degA_1~~~degA_4~~~degA_3
dmlR_27~~~pgrR_7~~~dmlR_20~~~dmlR_37~~~pgrR_12~~~dmlR_44~~~dmlR_35~~~dmlR_29~~~pgrR_10~~~dmlR_33~~~dmlR_40~~~dmlR_36,dmlR_27~~~pgrR_7~~~dmlR_20~~~dmlR_37~~~pgrR_12~~~dmlR_44~~~dmlR_35~~~dmlR_29~~~pgrR_10~~~dmlR_33~~~dmlR_40~~~dmlR_36
fdhS_2,fdhS_2
fepC_3~~~hmuV_2~~~hmuV_3~~~hmuV_1~~~fhuC_2~~~fhuC_1~~~fhuC_3~~~fhuC_4,fepC_3~~~hmuV_2~~~hmuV_3~~~hmuV_1~~~fhuC_2~~~fhuC_1~~~fhuC_3~~~fhuC_4
feuC~~~hmuU_1~~~feuC_1,feuC~~~hmuU_1~~~feuC_1
galS_2~~~galR_2~~~galR_1~~~galS_1,galS_2~~~galR_2~~~galR_1~~~galS_1
group_10062,group_10062
group_1242,group_1242
group_2011,group_2011
group_2061,group_2061
group_26541,group_26541
group_26687,group_26687
group_27799,group_27799
group_3958,group_3958
group_4303,group_4303
group_4356,group_4356
group_4393,group_4393
kbl_1~~~kbl_2,kbl_1~~~kbl_2
lacE_2~~~lacE_1,lacE_2~~~lacE_1
mcl2,mcl2
nhaC~~~mleN_1~~~mleN,nhaC~~~mleN_1~~~mleN
patB_2~~~patB_1~~~patB_3,patB_2~~~patB_1~~~patB_3
pepA_1,pepA_1
phaJ,phaJ
potA_4~~~potA_1~~~potA_3,potA_4~~~potA_1~~~potA_3
rbsR_1~~~degA_3~~~exuR~~~degA_2~~~degA_1,rbsR_1~~~degA_3~~~exuR~~~degA_2~~~degA_1
rhlG~~~fabG_12~~~fabG_13,rhlG~~~fabG_12~~~fabG_13
siaT_2~~~siaT,siaT_2~~~siaT
ugpA_1~~~lacF_2~~~yteP~~~lacF_1,ugpA_1~~~lacF_2~~~yteP~~~lacF_1
ugpC_5~~~ugpC_3~~~ugpC_1~~~ugpC_4,ugpC_5~~~ugpC_3~~~ugpC_1~~~ugpC_4
ycjO_1~~~cysW_2~~~cysW_1~~~cysW_3,ycjO_1~~~cysW_2~~~cysW_1~~~cysW_3
ycjP_1~~~ycjP_4,ycjP_1~~~ycjP_4
yiaO_1~~~yiaO,yiaO_1~~~yiaO
